2025-12-08 08:37:17 INFO: Starting scalper for BTCUSD M1 — 2025-12-08T08:37:17.893432
2025-12-08 08:37:57 INFO: PRICE NOW: 91400.71 | PRICE CLOSE: 91443.56 | SIGNAL: WAIT | TREND: UP | EMA-100: 90593.36
2025-12-08 08:37:58 INFO: PRICE NOW: 91400.71 | PRICE CLOSE: 91443.56 | SIGNAL: WAIT | TREND: UP | EMA-100: 90593.36
2025-12-08 08:37:59 INFO: PRICE NOW: 91400.71 | PRICE CLOSE: 91443.56 | SIGNAL: WAIT | TREND: UP | EMA-100: 90593.36
2025-12-08 08:38:00 INFO: PRICE NOW: 91400.71 | PRICE CLOSE: 91443.56 | SIGNAL: WAIT | TREND: UP | EMA-100: 90593.36
2025-12-08 08:38:01 INFO: PRICE NOW: 91442.29 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90610.17
2025-12-08 08:38:02 INFO: PRICE NOW: 91455.11 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90610.43
2025-12-08 08:38:03 INFO: PRICE NOW: 91475.75 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90610.84
2025-12-08 08:38:04 INFO: PRICE NOW: 91468.02 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90610.68
2025-12-08 08:38:05 INFO: PRICE NOW: 91470.28 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90610.73
2025-12-08 08:38:06 INFO: PRICE NOW: 91488.86 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90611.10
2025-12-08 08:38:07 INFO: PRICE NOW: 91487.58 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90611.07
2025-12-08 08:38:08 INFO: PRICE NOW: 91486.25 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90611.05
2025-12-08 08:38:09 INFO: PRICE NOW: 91486.25 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90611.05
2025-12-08 08:38:10 INFO: PRICE NOW: 91489.36 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90611.11
2025-12-08 08:38:11 INFO: PRICE NOW: 91468.67 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90610.70
2025-12-08 08:38:12 INFO: PRICE NOW: 91482.70 | PRICE CLOSE: 91400.71 | SIGNAL: WAIT | TREND: UP | EMA-100: 90610.97
