2025-12-13 06:44:05 INFO: Starting scalper for BTCUSDm M1 — 2025-12-13T06:44:05.215565
2025-12-13 06:44:55 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:44:56 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:44:57 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:44:58 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:44:59 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:45:00 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:45:01 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:45:03 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:45:04 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:45:05 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:45:06 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:45:07 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:45:08 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:45:09 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:45:10 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:45:11 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:45:12 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:45:13 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:45:14 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:45:15 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:45:16 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:45:17 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:45:18 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:45:19 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:45:20 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:45:21 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:45:22 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:45:23 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:45:24 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:45:25 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:45:26 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
